account_holder,Aarav Mehta
account_number_masked,XXXXXXXX4137
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,ATM CASH WDL,671069,94.35,,9405.65
2026-03-19,MOBILE RECHARGE UPI,671070,161.21,,9244.44
2026-03-20,UPI/ZIPRIDEPARTNER PAYOUT/671071,671071,,5687.51,14931.95
2026-03-20,GROCERY STORE UPI,671072,60.11,,14871.84
2026-03-23,RENT PAYMENT NEFT,671073,95.81,,14776.03
2026-03-25,ATM CASH WDL,671074,194.17,,14581.86
2026-03-27,UPI/ZIPRIDEPARTNER PAYOUT/671075,671075,,9315.70,23897.56
2026-03-27,MOBILE RECHARGE UPI,671076,168.80,,23728.76
2026-03-28,UPI/CUSTOMER TRANSFER/IN,671077,,1132.18,24860.94
2026-03-30,MOBILE RECHARGE UPI,671078,275.58,,24585.36
2026-04-02,DTH RECHARGE UPI,671079,165.12,,24420.24
2026-04-03,UPI/ZIPRIDEPARTNER PAYOUT/671080,671080,,8162.78,32583.02
2026-04-03,UPI/CUSTOMER TRANSFER/IN,671081,,1207.20,33790.22
2026-04-07,RENT PAYMENT NEFT,671082,110.88,,33679.34
2026-04-08,UPI/CUSTOMER TRANSFER/IN,671083,,916.62,34595.96
2026-04-09,UPI/CUSTOMER TRANSFER/IN,671084,,1188.75,35784.71
2026-04-10,UPI/ZIPRIDEPARTNER PAYOUT/671085,671085,,6148.12,41932.83
2026-04-11,GROCERY STORE UPI,671086,163.67,,41769.16
2026-04-14,RENT PAYMENT NEFT,671087,114.04,,41655.12
2026-04-16,RENT PAYMENT NEFT,671088,208.48,,41446.64
2026-04-17,UPI/ZIPRIDEPARTNER PAYOUT/671089,671089,,7076.90,48523.54
2026-04-18,GROCERY STORE UPI,671090,201.60,,48321.94
2026-04-19,UPI/CUSTOMER TRANSFER/IN,671091,,749.65,49071.59
2026-04-20,DTH RECHARGE UPI,671092,250.33,,48821.26
2026-04-22,ELECTRICITY BILL UPI,671093,202.04,,48619.22
2026-04-23,MOBILE RECHARGE UPI,671094,195.46,,48423.76
2026-04-24,UPI/ZIPRIDEPARTNER PAYOUT/671095,671095,,7048.66,55472.42
2026-04-24,RENT PAYMENT NEFT,671096,162.55,,55309.87
2026-04-28,ATM CASH WDL,671097,278.36,,55031.51
2026-05-01,UPI/ZIPRIDEPARTNER PAYOUT/671098,671098,,8791.98,63823.49
2026-05-01,GROCERY STORE UPI,671099,340.59,,63482.90
2026-05-02,UPI/CUSTOMER TRANSFER/IN,671100,,787.96,64270.86
2026-05-02,ELECTRICITY BILL UPI,671101,191.36,,64079.50
2026-05-03,GROCERY STORE UPI,671102,30.00,,64049.50
2026-05-04,MOBILE RECHARGE UPI,671103,187.99,,63861.51
2026-05-08,UPI/ZIPRIDEPARTNER PAYOUT/671104,671104,,7268.90,71130.41
2026-05-10,ATM CASH WDL,671105,404.85,,70725.56
2026-05-12,UPI/CUSTOMER TRANSFER/IN,671106,,703.70,71429.26
2026-05-12,GROCERY STORE UPI,671107,132.86,,71296.40
2026-05-15,UPI/ZIPRIDEPARTNER PAYOUT/671108,671108,,4906.96,76203.36
2026-05-15,ATM CASH WDL,671109,201.75,,76001.61
2026-05-16,DTH RECHARGE UPI,671110,164.87,,75836.74
2026-05-17,ELECTRICITY BILL UPI,671111,105.58,,75731.16
2026-05-18,DTH RECHARGE UPI,671112,385.62,,75345.54
2026-05-19,ATM CASH WDL,671113,270.15,,75075.39
2026-05-20,DTH RECHARGE UPI,671114,260.42,,74814.97
2026-05-21,UPI/CUSTOMER TRANSFER/IN,671115,,1168.17,75983.14
2026-05-22,UPI/ZIPRIDEPARTNER PAYOUT/671116,671116,,9086.99,85070.13
2026-05-24,GROCERY STORE UPI,671117,403.41,,84666.72
2026-05-26,GROCERY STORE UPI,671118,96.37,,84570.35
2026-05-27,DTH RECHARGE UPI,671119,282.21,,84288.14
