account_holder,Priya Nair
account_number_masked,XXXXXXXX4274
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,ATM CASH WDL,392569,413.64,,3786.36
2026-03-21,MOBILE RECHARGE UPI,392570,194.24,,3592.12
2026-03-22,UPI/CUSTOMER TRANSFER/IN,392571,,546.23,4138.35
2026-03-23,GROCERY STORE UPI,392572,144.15,,3994.20
2026-03-24,UPI/FOODDASHPARTNER PAYOUT/392573,392573,,3942.93,7937.13
2026-03-24,ELECTRICITY BILL UPI,392574,193.69,,7743.44
2026-03-25,RENT PAYMENT NEFT,392575,544.08,,7199.36
2026-03-26,UPI/CUSTOMER TRANSFER/IN,392576,,942.17,8141.53
2026-03-26,GROCERY STORE UPI,392577,222.03,,7919.50
2026-03-28,RENT PAYMENT NEFT,392578,114.04,,7805.46
2026-03-29,DTH RECHARGE UPI,392579,337.17,,7468.29
2026-03-30,ATM CASH WDL,392580,180.44,,7287.85
2026-03-31,UPI/FOODDASHPARTNER PAYOUT/392581,392581,,3370.45,10658.30
2026-03-31,ATM CASH WDL,392582,264.34,,10393.96
2026-04-01,MOBILE RECHARGE UPI,392583,203.50,,10190.46
2026-04-02,GROCERY STORE UPI,392584,221.17,,9969.29
2026-04-05,ELECTRICITY BILL UPI,392585,448.71,,9520.58
2026-04-06,DTH RECHARGE UPI,392586,228.80,,9291.78
2026-04-07,UPI/FOODDASHPARTNER PAYOUT/392587,392587,,2960.51,12252.29
2026-04-07,RENT PAYMENT NEFT,392588,200.66,,12051.63
2026-04-08,ELECTRICITY BILL UPI,392589,446.90,,11604.73
2026-04-09,UPI/CUSTOMER TRANSFER/IN,392590,,1284.16,12888.89
2026-04-11,UPI/CUSTOMER TRANSFER/IN,392591,,1318.45,14207.34
2026-04-12,ELECTRICITY BILL UPI,392592,53.72,,14153.62
2026-04-13,ATM CASH WDL,392593,370.84,,13782.78
2026-04-14,UPI/FOODDASHPARTNER PAYOUT/392594,392594,,4346.60,18129.38
2026-04-14,ATM CASH WDL,392595,414.56,,17714.82
2026-04-16,DTH RECHARGE UPI,392596,87.63,,17627.19
2026-04-17,GROCERY STORE UPI,392597,153.32,,17473.87
2026-04-18,GROCERY STORE UPI,392598,290.72,,17183.15
2026-04-19,ELECTRICITY BILL UPI,392599,215.60,,16967.55
2026-04-20,UPI/CUSTOMER TRANSFER/IN,392600,,953.21,17920.76
2026-04-21,UPI/FOODDASHPARTNER PAYOUT/392601,392601,,3180.66,21101.42
2026-04-21,UPI/CUSTOMER TRANSFER/IN,392602,,631.71,21733.13
2026-04-24,GROCERY STORE UPI,392603,443.80,,21289.33
2026-04-25,UPI/CUSTOMER TRANSFER/IN,392604,,814.15,22103.48
2026-04-25,GROCERY STORE UPI,392605,662.86,,21440.62
2026-04-26,GROCERY STORE UPI,392606,30.70,,21409.92
2026-04-27,MOBILE RECHARGE UPI,392607,30.00,,21379.92
2026-04-28,UPI/FOODDASHPARTNER PAYOUT/392608,392608,,5407.99,26787.91
2026-04-28,UPI/CUSTOMER TRANSFER/IN,392609,,483.65,27271.56
2026-04-29,UPI/CUSTOMER TRANSFER/IN,392610,,1222.42,28493.98
2026-04-29,DTH RECHARGE UPI,392611,398.40,,28095.58
2026-04-30,DTH RECHARGE UPI,392612,442.53,,27653.05
2026-05-01,RENT PAYMENT NEFT,392613,215.58,,27437.47
2026-05-04,ELECTRICITY BILL UPI,392614,30.00,,27407.47
2026-05-05,UPI/FOODDASHPARTNER PAYOUT/392615,392615,,3554.71,30962.18
2026-05-05,UPI/CUSTOMER TRANSFER/IN,392616,,717.71,31679.89
2026-05-05,GROCERY STORE UPI,392617,352.52,,31327.37
2026-05-06,RENT PAYMENT NEFT,392618,198.36,,31129.01
2026-05-07,MOBILE RECHARGE UPI,392619,197.04,,30931.97
2026-05-08,UPI/CUSTOMER TRANSFER/IN,392620,,1020.18,31952.15
2026-05-09,ATM CASH WDL,392621,221.92,,31730.23
2026-05-10,DTH RECHARGE UPI,392622,58.09,,31672.14
2026-05-12,UPI/FOODDASHPARTNER PAYOUT/392623,392623,,2802.26,34474.40
2026-05-12,MOBILE RECHARGE UPI,392624,77.20,,34397.20
2026-05-13,ELECTRICITY BILL UPI,392625,237.46,,34159.74
2026-05-14,ATM CASH WDL,392626,384.26,,33775.48
2026-05-18,UPI/CUSTOMER TRANSFER/IN,392627,,609.46,34384.94
2026-05-18,ELECTRICITY BILL UPI,392628,228.80,,34156.14
2026-05-19,UPI/FOODDASHPARTNER PAYOUT/392629,392629,,3184.96,37341.10
2026-05-20,MOBILE RECHARGE UPI,392630,136.90,,37204.20
2026-05-21,GROCERY STORE UPI,392631,118.83,,37085.37
2026-05-22,RENT PAYMENT NEFT,392632,231.87,,36853.50
2026-05-23,DTH RECHARGE UPI,392633,268.42,,36585.08
2026-05-24,GROCERY STORE UPI,392634,172.35,,36412.73
2026-05-26,UPI/FOODDASHPARTNER PAYOUT/392635,392635,,2853.72,39266.45
2026-05-29,ATM CASH WDL,392636,129.06,,39137.39
2026-05-31,ATM CASH WDL,392637,350.77,,38786.62
2026-06-02,UPI/FOODDASHPARTNER PAYOUT/392638,392638,,4581.13,43367.75
2026-06-02,MOBILE RECHARGE UPI,392639,381.96,,42985.79
2026-06-03,GROCERY STORE UPI,392640,439.47,,42546.32
2026-06-04,RENT PAYMENT NEFT,392641,271.38,,42274.94
2026-06-05,ELECTRICITY BILL UPI,392642,133.04,,42141.90
2026-06-06,ATM CASH WDL,392643,331.51,,41810.39
2026-06-07,ATM CASH WDL,392644,90.38,,41720.01
2026-06-08,UPI/CUSTOMER TRANSFER/IN,392645,,817.64,42537.65
2026-06-08,RENT PAYMENT NEFT,392646,179.01,,42358.64
2026-06-09,UPI/FOODDASHPARTNER PAYOUT/392647,392647,,3193.14,45551.78
2026-06-09,GROCERY STORE UPI,392648,318.38,,45233.40
2026-06-10,RENT PAYMENT NEFT,392649,30.00,,45203.40
2026-06-11,RENT PAYMENT NEFT,392650,579.86,,44623.54
2026-06-12,DTH RECHARGE UPI,392651,149.18,,44474.36
2026-06-13,UPI/CUSTOMER TRANSFER/IN,392652,,1364.47,45838.83
2026-06-14,ELECTRICITY BILL UPI,392653,173.86,,45664.97
2026-06-15,DTH RECHARGE UPI,392654,54.37,,45610.60
2026-06-16,UPI/FOODDASHPARTNER PAYOUT/392655,392655,,3474.09,49084.69
2026-06-16,GROCERY STORE UPI,392656,397.03,,48687.66
2026-06-17,DTH RECHARGE UPI,392657,240.83,,48446.83
2026-06-18,RENT PAYMENT NEFT,392658,300.56,,48146.27
2026-06-20,ATM CASH WDL,392659,360.09,,47786.18
2026-06-21,MOBILE RECHARGE UPI,392660,418.79,,47367.39
2026-06-22,UPI/CUSTOMER TRANSFER/IN,392661,,305.79,47673.18
2026-06-22,RENT PAYMENT NEFT,392662,158.06,,47515.12
2026-06-23,UPI/FOODDASHPARTNER PAYOUT/392663,392663,,5744.28,53259.40
2026-06-25,DTH RECHARGE UPI,392664,192.49,,53066.91
