account_holder,Deepak Yadav
account_number_masked,XXXXXXXX4411
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,ELECTRICITY BILL UPI,570616,30.00,,620.00
2026-03-19,ELECTRICITY BILL UPI,570617,30.00,,590.00
2026-03-20,UPI/ZIPRIDEPARTNER PAYOUT/570618,570618,,1673.06,2263.06
2026-03-23,MOBILE RECHARGE UPI,570619,136.36,,2126.70
2026-03-26,ELECTRICITY BILL UPI,570620,103.11,,2023.59
2026-03-27,UPI/ZIPRIDEPARTNER PAYOUT/570621,570621,,1559.26,3582.85
2026-03-30,GROCERY STORE UPI,570622,163.32,,3419.53
2026-04-03,UPI/ZIPRIDEPARTNER PAYOUT/570623,570623,,1710.82,5130.35
2026-04-04,UPI/CUSTOMER TRANSFER/IN,570624,,597.98,5728.33
2026-04-04,GROCERY STORE UPI,570625,67.43,,5660.90
2026-04-06,UPI/CUSTOMER TRANSFER/IN,570626,,1097.89,6758.79
2026-04-06,ATM CASH WDL,570627,329.70,,6429.09
2026-04-07,DTH RECHARGE UPI,570628,315.26,,6113.83
2026-04-09,ATM CASH WDL,570629,59.06,,6054.77
2026-04-10,UPI/ZIPRIDEPARTNER PAYOUT/570630,570630,,1965.64,8020.41
2026-04-10,ELECTRICITY BILL UPI,570631,46.66,,7973.75
2026-04-12,UPI/CUSTOMER TRANSFER/IN,570632,,1064.81,9038.56
2026-04-12,RENT PAYMENT NEFT,570633,86.27,,8952.29
2026-04-13,ATM CASH WDL,570634,198.28,,8754.01
2026-04-14,DTH RECHARGE UPI,570635,101.65,,8652.36
2026-04-15,ELECTRICITY BILL UPI,570636,30.00,,8622.36
2026-04-16,MOBILE RECHARGE UPI,570637,223.66,,8398.70
2026-04-17,UPI/ZIPRIDEPARTNER PAYOUT/570638,570638,,2349.16,10747.86
2026-04-17,GROCERY STORE UPI,570639,210.91,,10536.95
2026-04-18,UPI/CUSTOMER TRANSFER/IN,570640,,384.40,10921.35
2026-04-19,GROCERY STORE UPI,570641,303.03,,10618.32
2026-04-20,GROCERY STORE UPI,570642,127.03,,10491.29
2026-04-21,ATM CASH WDL,570643,103.08,,10388.21
2026-04-22,GROCERY STORE UPI,570644,135.44,,10252.77
2026-04-24,UPI/ZIPRIDEPARTNER PAYOUT/570645,570645,,1814.81,12067.58
2026-04-24,MOBILE RECHARGE UPI,570646,180.01,,11887.57
2026-04-25,GROCERY STORE UPI,570647,264.51,,11623.06
2026-04-26,UPI/CUSTOMER TRANSFER/IN,570648,,582.09,12205.15
2026-04-26,ATM CASH WDL,570649,196.48,,12008.67
2026-04-29,GROCERY STORE UPI,570650,187.39,,11821.28
2026-05-01,UPI/ZIPRIDEPARTNER PAYOUT/570651,570651,,2091.34,13912.62
2026-05-01,GROCERY STORE UPI,570652,302.53,,13610.09
2026-05-02,ATM CASH WDL,570653,148.59,,13461.50
2026-05-03,RENT PAYMENT NEFT,570654,250.38,,13211.12
2026-05-05,MOBILE RECHARGE UPI,570655,266.70,,12944.42
2026-05-07,ATM CASH WDL,570656,421.00,,12523.42
2026-05-08,UPI/ZIPRIDEPARTNER PAYOUT/570657,570657,,2129.88,14653.30
2026-05-08,GROCERY STORE UPI,570658,175.41,,14477.89
2026-05-10,DTH RECHARGE UPI,570659,370.01,,14107.88
2026-05-15,UPI/ZIPRIDEPARTNER PAYOUT/570660,570660,,1495.74,15603.62
2026-05-15,RENT PAYMENT NEFT,570661,206.82,,15396.80
