account_holder,Farhan Sheikh
account_number_masked,XXXXXXXX4685
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-19,MOBILE RECHARGE UPI,527074,412.08,,4787.92
2026-03-20,UPI/FOODDASHPARTNER PAYOUT/527075,527075,,3259.42,8047.34
2026-03-20,ATM CASH WDL,527076,195.94,,7851.40
2026-03-23,UPI/CUSTOMER TRANSFER/IN,527077,,749.92,8601.32
2026-03-23,DTH RECHARGE UPI,527078,133.19,,8468.13
2026-03-24,MOBILE RECHARGE UPI,527079,252.34,,8215.79
2026-03-25,ATM CASH WDL,527080,77.78,,8138.01
2026-03-27,UPI/FOODDASHPARTNER PAYOUT/527081,527081,,6256.67,14394.68
2026-03-27,UPI/CUSTOMER TRANSFER/IN,527082,,1339.81,15734.49
2026-03-28,DTH RECHARGE UPI,527083,222.18,,15512.31
2026-04-01,ELECTRICITY BILL UPI,527084,322.95,,15189.36
2026-04-02,MOBILE RECHARGE UPI,527085,49.16,,15140.20
2026-04-03,UPI/FOODDASHPARTNER PAYOUT/527086,527086,,5643.37,20783.57
2026-04-08,MOBILE RECHARGE UPI,527087,314.09,,20469.48
2026-04-09,RENT PAYMENT NEFT,527088,71.27,,20398.21
2026-04-10,UPI/FOODDASHPARTNER PAYOUT/527089,527089,,4463.05,24861.26
2026-04-10,DTH RECHARGE UPI,527090,107.38,,24753.88
2026-04-11,DTH RECHARGE UPI,527091,209.96,,24543.92
2026-04-12,DTH RECHARGE UPI,527092,295.73,,24248.19
2026-04-13,GROCERY STORE UPI,527093,257.36,,23990.83
2026-04-14,DTH RECHARGE UPI,527094,219.67,,23771.16
2026-04-17,UPI/FOODDASHPARTNER PAYOUT/527095,527095,,4269.58,28040.74
2026-04-17,UPI/CUSTOMER TRANSFER/IN,527096,,744.86,28785.60
2026-04-17,DTH RECHARGE UPI,527097,322.05,,28463.55
2026-04-18,MOBILE RECHARGE UPI,527098,174.47,,28289.08
2026-04-19,ELECTRICITY BILL UPI,527099,96.61,,28192.47
2026-04-20,ATM CASH WDL,527100,333.57,,27858.90
2026-04-24,UPI/FOODDASHPARTNER PAYOUT/527101,527101,,5253.93,33112.83
2026-04-24,MOBILE RECHARGE UPI,527102,393.01,,32719.82
2026-04-25,RENT PAYMENT NEFT,527103,360.72,,32359.10
2026-04-26,DTH RECHARGE UPI,527104,244.99,,32114.11
2026-04-27,UPI/CUSTOMER TRANSFER/IN,527105,,1309.62,33423.73
2026-04-27,RENT PAYMENT NEFT,527106,145.40,,33278.33
2026-04-28,RENT PAYMENT NEFT,527107,194.01,,33084.32
2026-04-29,ATM CASH WDL,527108,172.63,,32911.69
2026-04-30,UPI/CUSTOMER TRANSFER/IN,527109,,906.25,33817.94
2026-05-01,UPI/FOODDASHPARTNER PAYOUT/527110,527110,,4711.63,38529.57
2026-05-01,DTH RECHARGE UPI,527111,199.08,,38330.49
2026-05-03,GROCERY STORE UPI,527112,61.49,,38269.00
2026-05-05,UPI/CUSTOMER TRANSFER/IN,527113,,521.02,38790.02
2026-05-05,ATM CASH WDL,527114,193.71,,38596.31
2026-05-06,DTH RECHARGE UPI,527115,199.30,,38397.01
2026-05-07,ATM CASH WDL,527116,223.97,,38173.04
2026-05-08,UPI/FOODDASHPARTNER PAYOUT/527117,527117,,4320.80,42493.84
2026-05-10,MOBILE RECHARGE UPI,527118,421.55,,42072.29
2026-05-11,RENT PAYMENT NEFT,527119,341.13,,41731.16
2026-05-12,DTH RECHARGE UPI,527120,137.49,,41593.67
2026-05-14,GROCERY STORE UPI,527121,135.92,,41457.75
2026-05-15,UPI/FOODDASHPARTNER PAYOUT/527122,527122,,3150.31,44608.06
2026-05-15,ELECTRICITY BILL UPI,527123,326.84,,44281.22
2026-05-16,ELECTRICITY BILL UPI,527124,125.53,,44155.69
2026-05-17,RENT PAYMENT NEFT,527125,346.59,,43809.10
2026-05-18,ELECTRICITY BILL UPI,527126,288.89,,43520.21
2026-05-19,ELECTRICITY BILL UPI,527127,162.96,,43357.25
2026-05-20,ELECTRICITY BILL UPI,527128,357.27,,42999.98
2026-05-22,UPI/FOODDASHPARTNER PAYOUT/527129,527129,,5974.13,48974.11
2026-05-22,ELECTRICITY BILL UPI,527130,270.72,,48703.39
2026-05-25,ATM CASH WDL,527131,293.68,,48409.71
2026-05-26,UPI/CUSTOMER TRANSFER/IN,527132,,987.04,49396.75
2026-05-28,ELECTRICITY BILL UPI,527133,214.90,,49181.85
2026-05-29,UPI/FOODDASHPARTNER PAYOUT/527134,527134,,4970.64,54152.49
2026-05-29,RENT PAYMENT NEFT,527135,186.61,,53965.88
2026-05-30,ATM CASH WDL,527136,133.78,,53832.10
2026-06-02,GROCERY STORE UPI,527137,349.97,,53482.13
2026-06-03,GROCERY STORE UPI,527138,108.73,,53373.40
2026-06-04,UPI/CUSTOMER TRANSFER/IN,527139,,1095.41,54468.81
2026-06-04,GROCERY STORE UPI,527140,214.75,,54254.06
2026-06-05,UPI/FOODDASHPARTNER PAYOUT/527141,527141,,4995.23,59249.29
2026-06-05,MOBILE RECHARGE UPI,527142,124.85,,59124.44
2026-06-06,RENT PAYMENT NEFT,527143,135.04,,58989.40
2026-06-07,UPI/CUSTOMER TRANSFER/IN,527144,,854.28,59843.68
2026-06-09,ATM CASH WDL,527145,94.10,,59749.58
2026-06-11,DTH RECHARGE UPI,527146,259.76,,59489.82
2026-06-12,UPI/FOODDASHPARTNER PAYOUT/527147,527147,,4220.63,63710.45
2026-06-12,UPI/CUSTOMER TRANSFER/IN,527148,,697.14,64407.59
2026-06-12,GROCERY STORE UPI,527149,355.64,,64051.95
2026-06-14,ATM CASH WDL,527150,180.20,,63871.75
2026-06-17,MOBILE RECHARGE UPI,527151,159.82,,63711.93
2026-06-18,ATM CASH WDL,527152,93.66,,63618.27
2026-06-19,UPI/FOODDASHPARTNER PAYOUT/527153,527153,,5501.65,69119.92
2026-06-19,MOBILE RECHARGE UPI,527154,176.95,,68942.97
2026-06-20,UPI/CUSTOMER TRANSFER/IN,527155,,938.35,69881.32
2026-06-20,MOBILE RECHARGE UPI,527156,162.21,,69719.11
2026-06-21,DTH RECHARGE UPI,527157,87.29,,69631.82
2026-06-22,RENT PAYMENT NEFT,527158,175.44,,69456.38
2026-06-23,ATM CASH WDL,527159,126.73,,69329.65
2026-06-26,UPI/FOODDASHPARTNER PAYOUT/527160,527160,,2987.88,72317.53
2026-06-27,GROCERY STORE UPI,527161,38.72,,72278.81
2026-06-28,UPI/CUSTOMER TRANSFER/IN,527162,,333.21,72612.02
2026-07-01,MOBILE RECHARGE UPI,527163,217.42,,72394.60
2026-07-03,UPI/FOODDASHPARTNER PAYOUT/527164,527164,,4539.86,76934.46
2026-07-03,UPI/CUSTOMER TRANSFER/IN,527165,,868.34,77802.80
2026-07-03,RENT PAYMENT NEFT,527166,69.56,,77733.24
2026-07-04,RENT PAYMENT NEFT,527167,312.19,,77421.05
2026-07-06,DTH RECHARGE UPI,527168,334.49,,77086.56
2026-07-07,DTH RECHARGE UPI,527169,260.27,,76826.29
2026-07-09,UPI/CUSTOMER TRANSFER/IN,527170,,893.58,77719.87
2026-07-09,ELECTRICITY BILL UPI,527171,165.05,,77554.82
2026-07-10,UPI/FOODDASHPARTNER PAYOUT/527172,527172,,5887.72,83442.54
2026-07-10,DTH RECHARGE UPI,527173,211.46,,83231.08
2026-07-12,GROCERY STORE UPI,527174,324.60,,82906.48
2026-07-15,DTH RECHARGE UPI,527175,232.57,,82673.91
2026-07-16,UPI/CUSTOMER TRANSFER/IN,527176,,828.22,83502.13
2026-07-16,RENT PAYMENT NEFT,527177,251.59,,83250.54
2026-07-17,UPI/FOODDASHPARTNER PAYOUT/527178,527178,,4598.65,87849.19
2026-07-20,GROCERY STORE UPI,527179,117.71,,87731.48
2026-07-21,RENT PAYMENT NEFT,527180,357.66,,87373.82
2026-07-22,UPI/CUSTOMER TRANSFER/IN,527181,,1598.26,88972.08
2026-07-22,ATM CASH WDL,527182,196.02,,88776.06
2026-07-23,ATM CASH WDL,527183,289.32,,88486.74
2026-07-24,UPI/FOODDASHPARTNER PAYOUT/527184,527184,,5129.23,93615.97
2026-07-24,GROCERY STORE UPI,527185,30.00,,93585.97
2026-07-25,DTH RECHARGE UPI,527186,311.66,,93274.31
2026-07-26,ATM CASH WDL,527187,31.46,,93242.85
2026-07-27,ELECTRICITY BILL UPI,527188,161.56,,93081.29
2026-07-30,ATM CASH WDL,527189,148.00,,92933.29
2026-07-31,UPI/FOODDASHPARTNER PAYOUT/527190,527190,,4017.40,96950.69
2026-07-31,DTH RECHARGE UPI,527191,148.63,,96802.06
2026-08-01,ATM CASH WDL,527192,152.43,,96649.63
2026-08-02,GROCERY STORE UPI,527193,109.93,,96539.70
2026-08-04,GROCERY STORE UPI,527194,304.93,,96234.77
2026-08-05,GROCERY STORE UPI,527195,221.67,,96013.10
2026-08-07,UPI/FOODDASHPARTNER PAYOUT/527196,527196,,4112.06,100125.16
2026-08-07,RENT PAYMENT NEFT,527197,227.94,,99897.22
2026-08-08,UPI/CUSTOMER TRANSFER/IN,527198,,403.97,100301.19
2026-08-08,RENT PAYMENT NEFT,527199,190.50,,100110.69
2026-08-10,GROCERY STORE UPI,527200,258.89,,99851.80
2026-08-11,MOBILE RECHARGE UPI,527201,325.47,,99526.33
2026-08-13,ELECTRICITY BILL UPI,527202,336.13,,99190.20
2026-08-14,UPI/FOODDASHPARTNER PAYOUT/527203,527203,,3382.81,102573.01
2026-08-14,DTH RECHARGE UPI,527204,238.97,,102334.04
2026-08-15,UPI/CUSTOMER TRANSFER/IN,527205,,1047.42,103381.46
2026-08-21,UPI/FOODDASHPARTNER PAYOUT/527206,527206,,5978.46,109359.92
2026-08-23,UPI/CUSTOMER TRANSFER/IN,527207,,974.98,110334.90
2026-08-23,MOBILE RECHARGE UPI,527208,120.86,,110214.04
2026-08-25,UPI/CUSTOMER TRANSFER/IN,527209,,985.52,111199.56
2026-08-25,DTH RECHARGE UPI,527210,147.64,,111051.92
2026-08-26,ATM CASH WDL,527211,67.38,,110984.54
2026-08-27,UPI/CUSTOMER TRANSFER/IN,527212,,1213.42,112197.96
2026-08-27,ELECTRICITY BILL UPI,527213,299.21,,111898.75
2026-08-28,UPI/FOODDASHPARTNER PAYOUT/527214,527214,,5759.56,117658.31
2026-08-30,GROCERY STORE UPI,527215,426.24,,117232.07
2026-08-31,MOBILE RECHARGE UPI,527216,341.11,,116890.96
2026-09-01,GROCERY STORE UPI,527217,161.41,,116729.55
2026-09-02,ATM CASH WDL,527218,313.14,,116416.41
2026-09-03,MOBILE RECHARGE UPI,527219,252.08,,116164.33
2026-09-04,UPI/FOODDASHPARTNER PAYOUT/527220,527220,,4582.13,120746.46
2026-09-04,UPI/CUSTOMER TRANSFER/IN,527221,,242.91,120989.37
2026-09-05,UPI/CUSTOMER TRANSFER/IN,527222,,797.66,121787.03
2026-09-06,ELECTRICITY BILL UPI,527223,30.00,,121757.03
2026-09-09,UPI/CUSTOMER TRANSFER/IN,527224,,1334.11,123091.14
2026-09-09,GROCERY STORE UPI,527225,269.11,,122822.03
2026-09-11,UPI/FOODDASHPARTNER PAYOUT/527226,527226,,4977.14,127799.17
2026-09-11,MOBILE RECHARGE UPI,527227,376.35,,127422.82
2026-09-13,ATM CASH WDL,527228,309.62,,127113.20
2026-09-14,ELECTRICITY BILL UPI,527229,147.36,,126965.84
