account_holder,Vikram Chauhan
account_number_masked,XXXXXXXX4822
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,RENT PAYMENT NEFT,794999,268.94,,5731.06
2026-03-19,UPI/ZIPRIDEPARTNER PAYOUT/795000,795000,,5171.57,10902.63
2026-03-19,ELECTRICITY BILL UPI,795001,382.99,,10519.64
2026-03-21,MOBILE RECHARGE UPI,795002,316.08,,10203.56
2026-03-22,ATM CASH WDL,795003,124.27,,10079.29
2026-03-23,ATM CASH WDL,795004,66.55,,10012.74
2026-03-25,RENT PAYMENT NEFT,795005,221.86,,9790.88
2026-03-26,UPI/ZIPRIDEPARTNER PAYOUT/795006,795006,,5099.02,14889.90
2026-03-29,ATM CASH WDL,795007,142.45,,14747.45
2026-03-30,ATM CASH WDL,795008,180.11,,14567.34
2026-03-31,MOBILE RECHARGE UPI,795009,108.37,,14458.97
2026-04-02,UPI/ZIPRIDEPARTNER PAYOUT/795010,795010,,7037.70,21496.67
2026-04-04,DTH RECHARGE UPI,795011,166.32,,21330.35
2026-04-06,DTH RECHARGE UPI,795012,242.54,,21087.81
2026-04-08,UPI/CUSTOMER TRANSFER/IN,795013,,1109.73,22197.54
2026-04-08,ATM CASH WDL,795014,289.43,,21908.11
2026-04-09,UPI/ZIPRIDEPARTNER PAYOUT/795015,795015,,5497.71,27405.82
2026-04-09,ATM CASH WDL,795016,134.86,,27270.96
2026-04-12,RENT PAYMENT NEFT,795017,58.79,,27212.17
2026-04-13,ATM CASH WDL,795018,145.19,,27066.98
2026-04-14,RENT PAYMENT NEFT,795019,41.83,,27025.15
2026-04-16,UPI/ZIPRIDEPARTNER PAYOUT/795020,795020,,5693.54,32718.69
2026-04-16,ATM CASH WDL,795021,105.91,,32612.78
2026-04-18,ELECTRICITY BILL UPI,795022,157.64,,32455.14
2026-04-19,RENT PAYMENT NEFT,795023,120.84,,32334.30
2026-04-21,ELECTRICITY BILL UPI,795024,60.31,,32273.99
2026-04-23,UPI/ZIPRIDEPARTNER PAYOUT/795025,795025,,5790.25,38064.24
2026-04-23,ATM CASH WDL,795026,133.80,,37930.44
2026-04-24,MOBILE RECHARGE UPI,795027,266.68,,37663.76
2026-04-25,ELECTRICITY BILL UPI,795028,152.91,,37510.85
2026-04-26,ELECTRICITY BILL UPI,795029,153.90,,37356.95
