account_holder,Suresh Kumar
account_number_masked,XXXXXXXX4959
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,ELECTRICITY BILL UPI,268651,117.34,,5382.66
2026-03-19,ELECTRICITY BILL UPI,268652,161.47,,5221.19
2026-03-20,UPI/ZIPRIDEPARTNER PAYOUT/268653,268653,,6223.64,11444.83
2026-03-20,MOBILE RECHARGE UPI,268654,96.60,,11348.23
2026-03-23,ATM CASH WDL,268655,30.00,,11318.23
2026-03-24,GROCERY STORE UPI,268656,53.38,,11264.85
2026-03-25,MOBILE RECHARGE UPI,268657,231.33,,11033.52
2026-03-26,UPI/CUSTOMER TRANSFER/IN,268658,,1036.91,12070.43
2026-03-26,ATM CASH WDL,268659,340.98,,11729.45
2026-03-27,UPI/ZIPRIDEPARTNER PAYOUT/268660,268660,,4679.21,16408.66
2026-03-28,RENT PAYMENT NEFT,268661,374.60,,16034.06
2026-03-29,UPI/CUSTOMER TRANSFER/IN,268662,,698.36,16732.42
2026-03-30,ATM CASH WDL,268663,267.88,,16464.54
2026-03-31,ATM CASH WDL,268664,378.84,,16085.70
2026-04-01,GROCERY STORE UPI,268665,87.13,,15998.57
2026-04-02,ELECTRICITY BILL UPI,268666,259.72,,15738.85
2026-04-03,UPI/ZIPRIDEPARTNER PAYOUT/268667,268667,,4807.77,20546.62
2026-04-03,UPI/CUSTOMER TRANSFER/IN,268668,,396.74,20943.36
2026-04-04,UPI/CUSTOMER TRANSFER/IN,268669,,586.42,21529.78
2026-04-05,UPI/CUSTOMER TRANSFER/IN,268670,,746.10,22275.88
2026-04-06,DTH RECHARGE UPI,268671,194.20,,22081.68
2026-04-07,RENT PAYMENT NEFT,268672,292.46,,21789.22
2026-04-10,UPI/ZIPRIDEPARTNER PAYOUT/268673,268673,,4828.42,26617.64
2026-04-11,MOBILE RECHARGE UPI,268674,172.77,,26444.87
2026-04-12,MOBILE RECHARGE UPI,268675,269.96,,26174.91
2026-04-13,RENT PAYMENT NEFT,268676,125.94,,26048.97
2026-04-14,UPI/CUSTOMER TRANSFER/IN,268677,,377.45,26426.42
2026-04-14,RENT PAYMENT NEFT,268678,87.71,,26338.71
2026-04-16,MOBILE RECHARGE UPI,268679,328.62,,26010.09
2026-04-17,UPI/ZIPRIDEPARTNER PAYOUT/268680,268680,,4395.02,30405.11
2026-04-22,UPI/CUSTOMER TRANSFER/IN,268681,,1239.40,31644.51
2026-04-22,ATM CASH WDL,268682,102.86,,31541.65
2026-04-23,ELECTRICITY BILL UPI,268683,216.03,,31325.62
2026-04-24,UPI/ZIPRIDEPARTNER PAYOUT/268684,268684,,4917.36,36242.98
2026-04-25,ELECTRICITY BILL UPI,268685,476.91,,35766.07
2026-04-26,GROCERY STORE UPI,268686,313.87,,35452.20
2026-05-01,UPI/ZIPRIDEPARTNER PAYOUT/268687,268687,,5302.94,40755.14
2026-05-02,GROCERY STORE UPI,268688,58.76,,40696.38
2026-05-05,UPI/CUSTOMER TRANSFER/IN,268689,,951.89,41648.27
2026-05-05,RENT PAYMENT NEFT,268690,197.60,,41450.67
2026-05-06,GROCERY STORE UPI,268691,219.29,,41231.38
2026-05-07,RENT PAYMENT NEFT,268692,30.00,,41201.38
2026-05-08,UPI/ZIPRIDEPARTNER PAYOUT/268693,268693,,4013.79,45215.17
2026-05-10,ELECTRICITY BILL UPI,268694,246.11,,44969.06
2026-05-11,GROCERY STORE UPI,268695,234.25,,44734.81
2026-05-12,UPI/CUSTOMER TRANSFER/IN,268696,,714.48,45449.29
2026-05-12,GROCERY STORE UPI,268697,187.50,,45261.79
2026-05-14,ELECTRICITY BILL UPI,268698,286.61,,44975.18
2026-05-15,UPI/ZIPRIDEPARTNER PAYOUT/268699,268699,,6027.24,51002.42
2026-05-17,ELECTRICITY BILL UPI,268700,288.84,,50713.58
2026-05-18,RENT PAYMENT NEFT,268701,122.59,,50590.99
2026-05-20,MOBILE RECHARGE UPI,268702,171.95,,50419.04
2026-05-21,GROCERY STORE UPI,268703,355.29,,50063.75
2026-05-22,UPI/ZIPRIDEPARTNER PAYOUT/268704,268704,,4458.39,54522.14
2026-05-22,DTH RECHARGE UPI,268705,249.98,,54272.16
2026-05-23,RENT PAYMENT NEFT,268706,271.22,,54000.94
2026-05-26,ELECTRICITY BILL UPI,268707,91.71,,53909.23
2026-05-27,DTH RECHARGE UPI,268708,164.84,,53744.39
2026-05-28,GROCERY STORE UPI,268709,295.05,,53449.34
2026-05-29,UPI/ZIPRIDEPARTNER PAYOUT/268710,268710,,3951.43,57400.77
2026-05-29,ATM CASH WDL,268711,187.66,,57213.11
2026-05-30,ATM CASH WDL,268712,262.44,,56950.67
2026-05-31,GROCERY STORE UPI,268713,400.29,,56550.38
2026-06-01,UPI/CUSTOMER TRANSFER/IN,268714,,816.95,57367.33
2026-06-03,UPI/CUSTOMER TRANSFER/IN,268715,,1414.76,58782.09
2026-06-04,GROCERY STORE UPI,268716,260.40,,58521.69
2026-06-05,UPI/ZIPRIDEPARTNER PAYOUT/268717,268717,,4643.66,63165.35
2026-06-05,ATM CASH WDL,268718,36.42,,63128.93
2026-06-06,UPI/CUSTOMER TRANSFER/IN,268719,,758.39,63887.32
2026-06-06,MOBILE RECHARGE UPI,268720,312.89,,63574.43
2026-06-07,GROCERY STORE UPI,268721,192.33,,63382.10
2026-06-08,RENT PAYMENT NEFT,268722,280.61,,63101.49
2026-06-09,UPI/CUSTOMER TRANSFER/IN,268723,,1357.34,64458.83
2026-06-11,ELECTRICITY BILL UPI,268724,150.73,,64308.10
2026-06-12,UPI/ZIPRIDEPARTNER PAYOUT/268725,268725,,4480.39,68788.49
2026-06-12,ELECTRICITY BILL UPI,268726,324.76,,68463.73
2026-06-14,UPI/CUSTOMER TRANSFER/IN,268727,,1463.30,69927.03
2026-06-15,ATM CASH WDL,268728,111.16,,69815.87
2026-06-16,GROCERY STORE UPI,268729,30.00,,69785.87
2026-06-17,DTH RECHARGE UPI,268730,42.52,,69743.35
2026-06-18,ELECTRICITY BILL UPI,268731,145.15,,69598.20
2026-06-19,UPI/ZIPRIDEPARTNER PAYOUT/268732,268732,,6386.01,75984.21
2026-06-19,MOBILE RECHARGE UPI,268733,264.08,,75720.13
2026-06-21,UPI/CUSTOMER TRANSFER/IN,268734,,922.80,76642.93
2026-06-23,RENT PAYMENT NEFT,268735,108.07,,76534.86
2026-06-26,UPI/ZIPRIDEPARTNER PAYOUT/268736,268736,,4640.11,81174.97
2026-06-26,RENT PAYMENT NEFT,268737,193.01,,80981.96
2026-07-01,UPI/CUSTOMER TRANSFER/IN,268738,,271.00,81252.96
2026-07-01,RENT PAYMENT NEFT,268739,193.09,,81059.87
2026-07-03,UPI/ZIPRIDEPARTNER PAYOUT/268740,268740,,4234.48,85294.35
2026-07-04,ELECTRICITY BILL UPI,268741,234.94,,85059.41
2026-07-06,DTH RECHARGE UPI,268742,125.36,,84934.05
2026-07-07,UPI/CUSTOMER TRANSFER/IN,268743,,1139.40,86073.45
2026-07-07,ELECTRICITY BILL UPI,268744,325.17,,85748.28
2026-07-08,UPI/CUSTOMER TRANSFER/IN,268745,,762.92,86511.20
2026-07-08,GROCERY STORE UPI,268746,239.16,,86272.04
2026-07-09,UPI/CUSTOMER TRANSFER/IN,268747,,956.77,87228.81
2026-07-09,ELECTRICITY BILL UPI,268748,289.33,,86939.48
2026-07-10,UPI/ZIPRIDEPARTNER PAYOUT/268749,268749,,4436.04,91375.52
2026-07-10,RENT PAYMENT NEFT,268750,183.43,,91192.09
2026-07-11,ATM CASH WDL,268751,176.10,,91015.99
2026-07-13,GROCERY STORE UPI,268752,239.88,,90776.11
2026-07-14,RENT PAYMENT NEFT,268753,296.94,,90479.17
2026-07-15,DTH RECHARGE UPI,268754,219.04,,90260.13
2026-07-16,ELECTRICITY BILL UPI,268755,332.30,,89927.83
2026-07-17,UPI/ZIPRIDEPARTNER PAYOUT/268756,268756,,4418.89,94346.72
2026-07-18,RENT PAYMENT NEFT,268757,44.20,,94302.52
2026-07-19,ATM CASH WDL,268758,30.00,,94272.52
2026-07-22,UPI/CUSTOMER TRANSFER/IN,268759,,850.11,95122.63
2026-07-22,ELECTRICITY BILL UPI,268760,358.34,,94764.29
2026-07-24,UPI/ZIPRIDEPARTNER PAYOUT/268761,268761,,6388.51,101152.80
2026-07-25,RENT PAYMENT NEFT,268762,173.18,,100979.62
2026-07-26,DTH RECHARGE UPI,268763,134.36,,100845.26
2026-07-27,MOBILE RECHARGE UPI,268764,267.31,,100577.95
2026-07-28,UPI/CUSTOMER TRANSFER/IN,268765,,814.44,101392.39
2026-07-29,MOBILE RECHARGE UPI,268766,94.84,,101297.55
2026-07-31,UPI/ZIPRIDEPARTNER PAYOUT/268767,268767,,5728.16,107025.71
2026-07-31,RENT PAYMENT NEFT,268768,121.39,,106904.32
2026-08-01,ATM CASH WDL,268769,234.64,,106669.68
2026-08-04,RENT PAYMENT NEFT,268770,69.73,,106599.95
2026-08-06,GROCERY STORE UPI,268771,307.92,,106292.03
2026-08-07,UPI/ZIPRIDEPARTNER PAYOUT/268772,268772,,4526.37,110818.40
2026-08-07,MOBILE RECHARGE UPI,268773,237.41,,110580.99
2026-08-09,MOBILE RECHARGE UPI,268774,65.11,,110515.88
2026-08-11,ELECTRICITY BILL UPI,268775,248.93,,110266.95
2026-08-12,GROCERY STORE UPI,268776,194.62,,110072.33
2026-08-14,UPI/ZIPRIDEPARTNER PAYOUT/268777,268777,,4430.02,114502.35
2026-08-14,MOBILE RECHARGE UPI,268778,30.00,,114472.35
2026-08-15,DTH RECHARGE UPI,268779,201.59,,114270.76
2026-08-18,UPI/CUSTOMER TRANSFER/IN,268780,,1156.51,115427.27
2026-08-18,GROCERY STORE UPI,268781,327.82,,115099.45
2026-08-20,RENT PAYMENT NEFT,268782,114.03,,114985.42
2026-08-21,UPI/ZIPRIDEPARTNER PAYOUT/268783,268783,,4427.79,119413.21
2026-08-23,ATM CASH WDL,268784,30.00,,119383.21
2026-08-25,ATM CASH WDL,268785,245.51,,119137.70
2026-08-26,ELECTRICITY BILL UPI,268786,254.21,,118883.49
2026-08-27,MOBILE RECHARGE UPI,268787,466.78,,118416.71
2026-08-28,UPI/ZIPRIDEPARTNER PAYOUT/268788,268788,,5819.82,124236.53
2026-08-28,MOBILE RECHARGE UPI,268789,235.03,,124001.50
2026-08-31,UPI/CUSTOMER TRANSFER/IN,268790,,504.97,124506.47
2026-08-31,RENT PAYMENT NEFT,268791,255.63,,124250.84
2026-09-01,GROCERY STORE UPI,268792,214.04,,124036.80
2026-09-03,ELECTRICITY BILL UPI,268793,227.36,,123809.44
2026-09-04,UPI/ZIPRIDEPARTNER PAYOUT/268794,268794,,5693.31,129502.75
2026-09-05,DTH RECHARGE UPI,268795,30.00,,129472.75
2026-09-06,MOBILE RECHARGE UPI,268796,277.72,,129195.03
2026-09-08,UPI/CUSTOMER TRANSFER/IN,268797,,995.00,130190.03
2026-09-09,DTH RECHARGE UPI,268798,162.59,,130027.44
2026-09-11,UPI/ZIPRIDEPARTNER PAYOUT/268799,268799,,5488.40,135515.84
2026-09-12,ATM CASH WDL,268800,130.17,,135385.67
2026-09-13,MOBILE RECHARGE UPI,268801,121.77,,135263.90
