account_holder,Meena Iyer
account_number_masked,XXXXXXXX5096
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,RENT PAYMENT NEFT,583909,241.75,,2758.25
2026-03-20,UPI/ZIPRIDEPARTNER PAYOUT/583910,583910,,4727.06,7485.31
2026-03-20,DTH RECHARGE UPI,583911,209.93,,7275.38
2026-03-22,ELECTRICITY BILL UPI,583912,279.20,,6996.18
2026-03-23,GROCERY STORE UPI,583913,138.84,,6857.34
2026-03-25,ELECTRICITY BILL UPI,583914,262.86,,6594.48
2026-03-27,UPI/ZIPRIDEPARTNER PAYOUT/583915,583915,,3279.73,9874.21
2026-03-29,DTH RECHARGE UPI,583916,69.06,,9805.15
2026-03-31,UPI/CUSTOMER TRANSFER/IN,583917,,1061.19,10866.34
2026-04-02,DTH RECHARGE UPI,583918,256.90,,10609.44
2026-04-03,UPI/ZIPRIDEPARTNER PAYOUT/583919,583919,,4207.17,14816.61
2026-04-03,UPI/CUSTOMER TRANSFER/IN,583920,,236.28,15052.89
2026-04-04,GROCERY STORE UPI,583921,229.98,,14822.91
2026-04-05,DTH RECHARGE UPI,583922,90.79,,14732.12
2026-04-06,RENT PAYMENT NEFT,583923,380.47,,14351.65
2026-04-07,UPI/CUSTOMER TRANSFER/IN,583924,,1148.05,15499.70
2026-04-08,RENT PAYMENT NEFT,583925,51.76,,15447.94
2026-04-09,UPI/CUSTOMER TRANSFER/IN,583926,,882.45,16330.39
2026-04-10,UPI/ZIPRIDEPARTNER PAYOUT/583927,583927,,3562.00,19892.39
2026-04-11,UPI/CUSTOMER TRANSFER/IN,583928,,1078.04,20970.43
2026-04-12,GROCERY STORE UPI,583929,332.90,,20637.53
2026-04-13,ATM CASH WDL,583930,164.47,,20473.06
2026-04-15,DTH RECHARGE UPI,583931,188.77,,20284.29
2026-04-16,GROCERY STORE UPI,583932,239.89,,20044.40
2026-04-17,UPI/ZIPRIDEPARTNER PAYOUT/583933,583933,,2720.53,22764.93
2026-04-17,ATM CASH WDL,583934,38.63,,22726.30
2026-04-18,UPI/CUSTOMER TRANSFER/IN,583935,,1164.77,23891.07
2026-04-18,ELECTRICITY BILL UPI,583936,147.36,,23743.71
2026-04-19,ELECTRICITY BILL UPI,583937,48.27,,23695.44
2026-04-20,RENT PAYMENT NEFT,583938,89.03,,23606.41
2026-04-21,UPI/CUSTOMER TRANSFER/IN,583939,,1023.47,24629.88
2026-04-22,MOBILE RECHARGE UPI,583940,325.33,,24304.55
2026-04-23,ELECTRICITY BILL UPI,583941,443.03,,23861.52
2026-04-24,UPI/ZIPRIDEPARTNER PAYOUT/583942,583942,,4403.19,28264.71
2026-04-24,RENT PAYMENT NEFT,583943,30.00,,28234.71
2026-04-26,DTH RECHARGE UPI,583944,91.47,,28143.24
2026-04-27,RENT PAYMENT NEFT,583945,189.75,,27953.49
2026-04-29,ELECTRICITY BILL UPI,583946,223.98,,27729.51
2026-04-30,ELECTRICITY BILL UPI,583947,187.04,,27542.47
2026-05-01,UPI/ZIPRIDEPARTNER PAYOUT/583948,583948,,4255.65,31798.12
2026-05-04,ELECTRICITY BILL UPI,583949,179.29,,31618.83
2026-05-08,UPI/ZIPRIDEPARTNER PAYOUT/583950,583950,,3802.56,35421.39
2026-05-10,ATM CASH WDL,583951,277.47,,35143.92
