account_holder,Kavita Sharma
account_number_masked,XXXXXXXX5233
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,UPI/CUSTOMER TRANSFER/IN,922769,,1077.27,6077.27
2026-03-18,ATM CASH WDL,922770,324.90,,5752.37
2026-03-21,UPI/FOODDASHPARTNER PAYOUT/922771,922771,,5310.70,11063.07
2026-03-21,ELECTRICITY BILL UPI,922772,138.22,,10924.85
2026-03-24,ELECTRICITY BILL UPI,922773,374.48,,10550.37
2026-03-28,UPI/FOODDASHPARTNER PAYOUT/922774,922774,,3820.81,14371.18
2026-03-28,GROCERY STORE UPI,922775,350.98,,14020.20
2026-03-29,RENT PAYMENT NEFT,922776,339.13,,13681.07
2026-03-30,ELECTRICITY BILL UPI,922777,127.69,,13553.38
2026-04-01,DTH RECHARGE UPI,922778,354.94,,13198.44
2026-04-02,UPI/CUSTOMER TRANSFER/IN,922779,,1240.42,14438.86
2026-04-02,ATM CASH WDL,922780,266.91,,14171.95
2026-04-03,GROCERY STORE UPI,922781,320.69,,13851.26
2026-04-04,UPI/FOODDASHPARTNER PAYOUT/922782,922782,,5084.63,18935.89
2026-04-04,RENT PAYMENT NEFT,922783,167.22,,18768.67
2026-04-06,ATM CASH WDL,922784,197.22,,18571.45
2026-04-07,MOBILE RECHARGE UPI,922785,256.12,,18315.33
2026-04-08,ELECTRICITY BILL UPI,922786,148.44,,18166.89
2026-04-09,DTH RECHARGE UPI,922787,149.16,,18017.73
2026-04-11,UPI/FOODDASHPARTNER PAYOUT/922788,922788,,4490.26,22507.99
2026-04-12,DTH RECHARGE UPI,922789,285.02,,22222.97
2026-04-13,DTH RECHARGE UPI,922790,88.20,,22134.77
2026-04-17,RENT PAYMENT NEFT,922791,128.68,,22006.09
2026-04-18,UPI/FOODDASHPARTNER PAYOUT/922792,922792,,4003.79,26009.88
2026-04-19,RENT PAYMENT NEFT,922793,214.08,,25795.80
2026-04-20,DTH RECHARGE UPI,922794,185.56,,25610.24
2026-04-22,MOBILE RECHARGE UPI,922795,340.27,,25269.97
2026-04-23,RENT PAYMENT NEFT,922796,57.83,,25212.14
2026-04-24,UPI/CUSTOMER TRANSFER/IN,922797,,1391.31,26603.45
2026-04-25,UPI/FOODDASHPARTNER PAYOUT/922798,922798,,6232.69,32836.14
2026-04-25,GROCERY STORE UPI,922799,296.83,,32539.31
2026-04-27,MOBILE RECHARGE UPI,922800,394.02,,32145.29
2026-04-28,ELECTRICITY BILL UPI,922801,192.11,,31953.18
2026-04-30,ELECTRICITY BILL UPI,922802,97.44,,31855.74
2026-05-02,UPI/FOODDASHPARTNER PAYOUT/922803,922803,,5993.40,37849.14
2026-05-04,ATM CASH WDL,922804,224.57,,37624.57
2026-05-05,UPI/CUSTOMER TRANSFER/IN,922805,,1736.43,39361.00
2026-05-06,ATM CASH WDL,922806,97.25,,39263.75
2026-05-07,ELECTRICITY BILL UPI,922807,256.74,,39007.01
2026-05-08,ELECTRICITY BILL UPI,922808,71.42,,38935.59
2026-05-09,UPI/FOODDASHPARTNER PAYOUT/922809,922809,,3269.63,42205.22
2026-05-09,MOBILE RECHARGE UPI,922810,160.02,,42045.20
2026-05-10,DTH RECHARGE UPI,922811,235.83,,41809.37
2026-05-11,UPI/CUSTOMER TRANSFER/IN,922812,,1368.25,43177.62
2026-05-11,GROCERY STORE UPI,922813,99.56,,43078.06
2026-05-13,ATM CASH WDL,922814,280.77,,42797.29
2026-05-15,ELECTRICITY BILL UPI,922815,192.11,,42605.18
2026-05-16,UPI/FOODDASHPARTNER PAYOUT/922816,922816,,4746.55,47351.73
2026-05-16,UPI/CUSTOMER TRANSFER/IN,922817,,635.68,47987.41
2026-05-16,ATM CASH WDL,922818,157.02,,47830.39
2026-05-17,MOBILE RECHARGE UPI,922819,224.87,,47605.52
2026-05-18,RENT PAYMENT NEFT,922820,169.61,,47435.91
2026-05-19,GROCERY STORE UPI,922821,110.48,,47325.43
2026-05-23,UPI/FOODDASHPARTNER PAYOUT/922822,922822,,5776.34,53101.77
2026-05-23,UPI/CUSTOMER TRANSFER/IN,922823,,974.97,54076.74
2026-05-23,MOBILE RECHARGE UPI,922824,288.06,,53788.68
2026-05-24,ELECTRICITY BILL UPI,922825,138.29,,53650.39
2026-05-25,GROCERY STORE UPI,922826,286.72,,53363.67
2026-05-27,RENT PAYMENT NEFT,922827,318.06,,53045.61
2026-05-29,MOBILE RECHARGE UPI,922828,295.89,,52749.72
2026-05-30,UPI/FOODDASHPARTNER PAYOUT/922829,922829,,6202.99,58952.71
2026-06-01,ATM CASH WDL,922830,201.15,,58751.56
2026-06-03,RENT PAYMENT NEFT,922831,170.80,,58580.76
2026-06-04,ELECTRICITY BILL UPI,922832,85.50,,58495.26
2026-06-06,UPI/FOODDASHPARTNER PAYOUT/922833,922833,,3630.82,62126.08
2026-06-07,ELECTRICITY BILL UPI,922834,197.79,,61928.29
2026-06-10,UPI/CUSTOMER TRANSFER/IN,922835,,1356.32,63284.61
2026-06-11,MOBILE RECHARGE UPI,922836,195.57,,63089.04
2026-06-12,ATM CASH WDL,922837,163.98,,62925.06
2026-06-13,UPI/FOODDASHPARTNER PAYOUT/922838,922838,,5142.43,68067.49
2026-06-14,ATM CASH WDL,922839,136.53,,67930.96
2026-06-15,ELECTRICITY BILL UPI,922840,148.31,,67782.65
2026-06-17,GROCERY STORE UPI,922841,175.36,,67607.29
2026-06-19,RENT PAYMENT NEFT,922842,98.54,,67508.75
2026-06-20,UPI/FOODDASHPARTNER PAYOUT/922843,922843,,2800.48,70309.23
2026-06-21,UPI/CUSTOMER TRANSFER/IN,922844,,236.42,70545.65
2026-06-22,DTH RECHARGE UPI,922845,316.95,,70228.70
2026-06-26,ELECTRICITY BILL UPI,922846,178.02,,70050.68
2026-06-27,UPI/FOODDASHPARTNER PAYOUT/922847,922847,,3634.25,73684.93
2026-06-28,UPI/CUSTOMER TRANSFER/IN,922848,,846.97,74531.90
2026-06-29,ATM CASH WDL,922849,213.85,,74318.05
2026-07-02,UPI/CUSTOMER TRANSFER/IN,922850,,716.56,75034.61
2026-07-02,GROCERY STORE UPI,922851,169.45,,74865.16
2026-07-04,UPI/FOODDASHPARTNER PAYOUT/922852,922852,,5917.65,80782.81
2026-07-04,ATM CASH WDL,922853,310.48,,80472.33
2026-07-06,ELECTRICITY BILL UPI,922854,384.55,,80087.78
2026-07-07,ELECTRICITY BILL UPI,922855,278.97,,79808.81
2026-07-08,GROCERY STORE UPI,922856,369.02,,79439.79
2026-07-09,GROCERY STORE UPI,922857,138.96,,79300.83
2026-07-10,UPI/CUSTOMER TRANSFER/IN,922858,,820.40,80121.23
2026-07-11,UPI/FOODDASHPARTNER PAYOUT/922859,922859,,5187.43,85308.66
2026-07-12,ELECTRICITY BILL UPI,922860,208.83,,85099.83
2026-07-18,UPI/FOODDASHPARTNER PAYOUT/922861,922861,,5574.81,90674.64
2026-07-18,UPI/CUSTOMER TRANSFER/IN,922862,,1059.46,91734.10
2026-07-18,DTH RECHARGE UPI,922863,47.31,,91686.79
2026-07-19,DTH RECHARGE UPI,922864,176.16,,91510.63
2026-07-20,GROCERY STORE UPI,922865,224.86,,91285.77
2026-07-21,UPI/CUSTOMER TRANSFER/IN,922866,,1297.70,92583.47
2026-07-21,DTH RECHARGE UPI,922867,286.52,,92296.95
2026-07-22,DTH RECHARGE UPI,922868,202.68,,92094.27
2026-07-23,MOBILE RECHARGE UPI,922869,112.20,,91982.07
2026-07-24,ATM CASH WDL,922870,320.90,,91661.17
2026-07-25,UPI/FOODDASHPARTNER PAYOUT/922871,922871,,4479.86,96141.03
2026-07-28,GROCERY STORE UPI,922872,278.06,,95862.97
2026-07-30,UPI/CUSTOMER TRANSFER/IN,922873,,1076.26,96939.23
2026-07-30,ELECTRICITY BILL UPI,922874,394.73,,96544.50
2026-07-31,ELECTRICITY BILL UPI,922875,114.59,,96429.91
2026-08-01,UPI/FOODDASHPARTNER PAYOUT/922876,922876,,5667.14,102097.05
2026-08-02,ATM CASH WDL,922877,171.08,,101925.97
2026-08-03,ELECTRICITY BILL UPI,922878,277.15,,101648.82
2026-08-08,UPI/FOODDASHPARTNER PAYOUT/922879,922879,,5995.30,107644.12
2026-08-09,UPI/CUSTOMER TRANSFER/IN,922880,,325.87,107969.99
2026-08-09,RENT PAYMENT NEFT,922881,183.44,,107786.55
