account_holder,Vikram Joshi
account_number_masked,XXXXXXXX5370
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-21,UPI/ZIPRIDEPARTNER PAYOUT/353728,353728,,8169.61,8369.61
2026-03-21,VEHICLE LEASE AUTO-DEBIT,353729,3676.32,,4693.29
2026-03-23,FUEL BULK PAYMENT,353730,2815.97,,1877.32
2026-03-24,GROCERY / LIVING,353731,1677.32,,200.00
2026-03-28,UPI/ZIPRIDEPARTNER PAYOUT/353732,353732,,5411.22,5611.22
2026-03-28,VEHICLE LEASE AUTO-DEBIT,353733,2435.05,,3176.17
2026-03-30,FUEL BULK PAYMENT,353734,1905.70,,1270.47
2026-03-31,GROCERY / LIVING,353735,1070.47,,200.00
2026-04-04,UPI/ZIPRIDEPARTNER PAYOUT/353736,353736,,7954.78,8154.78
2026-04-04,VEHICLE LEASE AUTO-DEBIT,353737,3579.65,,4575.13
2026-04-06,FUEL BULK PAYMENT,353738,2745.08,,1830.05
2026-04-07,GROCERY / LIVING,353739,1630.05,,200.00
2026-04-11,UPI/ZIPRIDEPARTNER PAYOUT/353740,353740,,5300.65,5500.65
2026-04-11,VEHICLE LEASE AUTO-DEBIT,353741,2385.29,,3115.36
2026-04-13,FUEL BULK PAYMENT,353742,1869.22,,1246.14
2026-04-14,GROCERY / LIVING,353743,1046.14,,200.00
2026-04-18,UPI/ZIPRIDEPARTNER PAYOUT/353744,353744,,7799.17,7999.17
2026-04-18,VEHICLE LEASE AUTO-DEBIT,353745,3509.63,,4489.54
2026-04-20,FUEL BULK PAYMENT,353746,2693.72,,1795.82
2026-04-21,GROCERY / LIVING,353747,1595.82,,200.00
2026-04-25,UPI/ZIPRIDEPARTNER PAYOUT/353748,353748,,4817.70,5017.70
2026-04-25,VEHICLE LEASE AUTO-DEBIT,353749,2167.97,,2849.73
2026-04-27,FUEL BULK PAYMENT,353750,1709.84,,1139.89
2026-04-28,GROCERY / LIVING,353751,939.89,,200.00
2026-05-02,UPI/ZIPRIDEPARTNER PAYOUT/353752,353752,,8202.43,8402.43
2026-05-02,VEHICLE LEASE AUTO-DEBIT,353753,3691.09,,4711.34
2026-05-04,FUEL BULK PAYMENT,353754,2826.80,,1884.54
2026-05-05,GROCERY / LIVING,353755,1684.54,,200.00
2026-05-09,UPI/ZIPRIDEPARTNER PAYOUT/353756,353756,,5097.93,5297.93
2026-05-09,VEHICLE LEASE AUTO-DEBIT,353757,2294.07,,3003.86
2026-05-11,FUEL BULK PAYMENT,353758,1802.32,,1201.54
2026-05-12,GROCERY / LIVING,353759,1001.54,,200.00
2026-05-16,UPI/ZIPRIDEPARTNER PAYOUT/353760,353760,,8524.96,8724.96
2026-05-16,VEHICLE LEASE AUTO-DEBIT,353761,3836.23,,4888.73
2026-05-18,FUEL BULK PAYMENT,353762,2933.24,,1955.49
2026-05-19,GROCERY / LIVING,353763,1755.49,,200.00
2026-05-23,UPI/ZIPRIDEPARTNER PAYOUT/353764,353764,,5172.88,5372.88
2026-05-23,VEHICLE LEASE AUTO-DEBIT,353765,2327.80,,3045.08
2026-05-25,FUEL BULK PAYMENT,353766,1827.05,,1218.03
2026-05-26,GROCERY / LIVING,353767,1018.03,,200.00
2026-05-30,UPI/ZIPRIDEPARTNER PAYOUT/353768,353768,,8511.73,8711.73
2026-05-30,VEHICLE LEASE AUTO-DEBIT,353769,3830.28,,4881.45
