account_holder,Ananya Sen
account_number_masked,XXXXXXXX5507
bank,Demo Sahakari Bank
period_from,2026-03-18
period_to,2026-09-14

date,narration,ref,debit,credit,balance
2026-03-18,UPI/MERCHANT/GROCERY,342735,544.41,,655.59
2026-03-19,UPI/MERCHANT/GROCERY,342736,105.59,,550.00
2026-03-22,UPI/ZIPRIDEPARTNER PAYOUT/342737,342737,,2378.75,2928.75
2026-03-23,UPI/MERCHANT/GROCERY,342738,777.53,,2151.22
2026-03-25,UPI/MERCHANT/GROCERY,342739,693.48,,1457.74
2026-03-26,UPI/MERCHANT/GROCERY,342740,713.67,,744.07
2026-03-28,UPI/MERCHANT/GROCERY,342741,194.07,,550.00
2026-03-29,UPI/ZIPRIDEPARTNER PAYOUT/342742,342742,,1872.55,2422.55
2026-03-29,UPI/MERCHANT/GROCERY,342743,681.92,,1740.63
2026-03-30,UPI/MERCHANT/GROCERY,342744,490.01,,1250.62
2026-03-31,UPI/MERCHANT/GROCERY,342745,700.62,,550.00
2026-04-05,UPI/ZIPRIDEPARTNER PAYOUT/342746,342746,,2333.52,2883.52
2026-04-07,UPI/MERCHANT/GROCERY,342747,659.93,,2223.59
2026-04-09,UPI/MERCHANT/GROCERY,342748,449.73,,1773.86
2026-04-10,UPI/MERCHANT/GROCERY,342749,504.02,,1269.84
2026-04-11,UPI/MERCHANT/GROCERY,342750,569.96,,699.88
2026-04-12,UPI/ZIPRIDEPARTNER PAYOUT/342751,342751,,2335.39,3035.27
2026-04-14,UPI/MERCHANT/GROCERY,342752,594.35,,2440.92
2026-04-16,UPI/MERCHANT/GROCERY,342753,760.46,,1680.46
2026-04-17,UPI/MERCHANT/GROCERY,342754,583.92,,1096.54
2026-04-18,UPI/MERCHANT/GROCERY,342755,546.54,,550.00
2026-04-19,UPI/ZIPRIDEPARTNER PAYOUT/342756,342756,,2146.28,2696.28
2026-04-19,UPI/MERCHANT/GROCERY,342757,561.16,,2135.12
2026-04-20,UPI/MERCHANT/GROCERY,342758,480.33,,1654.79
2026-04-22,UPI/MERCHANT/GROCERY,342759,705.27,,949.52
2026-04-25,UPI/MERCHANT/GROCERY,342760,399.52,,550.00
2026-04-26,UPI/ZIPRIDEPARTNER PAYOUT/342761,342761,,1736.38,2286.38
2026-04-28,UPI/MERCHANT/GROCERY,342762,639.35,,1647.03
2026-04-29,UPI/MERCHANT/GROCERY,342763,547.82,,1099.21
2026-04-30,UPI/MERCHANT/GROCERY,342764,549.21,,550.00
2026-05-03,UPI/ZIPRIDEPARTNER PAYOUT/342765,342765,,2058.41,2608.41
2026-05-05,UPI/MERCHANT/GROCERY,342766,701.41,,1907.00
2026-05-06,UPI/MERCHANT/GROCERY,342767,473.46,,1433.54
2026-05-07,UPI/MERCHANT/GROCERY,342768,672.83,,760.71
2026-05-08,UPI/MERCHANT/GROCERY,342769,210.71,,550.00
2026-05-10,UPI/ZIPRIDEPARTNER PAYOUT/342770,342770,,2362.90,2912.90
2026-05-10,UPI/MERCHANT/GROCERY,342771,563.42,,2349.48
2026-05-12,UPI/MERCHANT/GROCERY,342772,722.04,,1627.44
2026-05-15,UPI/MERCHANT/GROCERY,342773,692.92,,934.52
2026-05-16,UPI/MERCHANT/GROCERY,342774,384.52,,550.00
2026-05-17,UPI/ZIPRIDEPARTNER PAYOUT/342775,342775,,2186.31,2736.31
2026-05-17,UPI/MERCHANT/GROCERY,342776,616.35,,2119.96
2026-05-19,UPI/MERCHANT/GROCERY,342777,585.55,,1534.41
2026-05-20,UPI/MERCHANT/GROCERY,342778,579.68,,954.73
2026-05-21,UPI/MERCHANT/GROCERY,342779,404.73,,550.00
2026-05-24,UPI/ZIPRIDEPARTNER PAYOUT/342780,342780,,2371.61,2921.61
2026-05-24,UPI/MERCHANT/GROCERY,342781,510.03,,2411.58
2026-05-27,UPI/MERCHANT/GROCERY,342782,634.67,,1776.91
2026-05-29,UPI/MERCHANT/GROCERY,342783,743.92,,1032.99
2026-05-31,UPI/ZIPRIDEPARTNER PAYOUT/342784,342784,,2313.77,3346.76
2026-06-01,UPI/MERCHANT/GROCERY,342785,616.96,,2729.80
2026-06-03,UPI/MERCHANT/GROCERY,342786,610.54,,2119.26
2026-06-04,UPI/MERCHANT/GROCERY,342787,767.91,,1351.35
2026-06-05,UPI/MERCHANT/GROCERY,342788,689.02,,662.33
2026-06-06,UPI/MERCHANT/GROCERY,342789,112.33,,550.00
2026-06-07,UPI/ZIPRIDEPARTNER PAYOUT/342790,342790,,2143.37,2693.37
2026-06-07,UPI/MERCHANT/GROCERY,342791,694.61,,1998.76
2026-06-08,UPI/MERCHANT/GROCERY,342792,636.13,,1362.63
2026-06-09,UPI/MERCHANT/GROCERY,342793,683.78,,678.85
2026-06-11,UPI/MERCHANT/GROCERY,342794,128.85,,550.00
2026-06-14,UPI/ZIPRIDEPARTNER PAYOUT/342795,342795,,2283.03,2833.03
2026-06-15,UPI/MERCHANT/GROCERY,342796,456.37,,2376.66
2026-06-16,UPI/MERCHANT/GROCERY,342797,629.54,,1747.12
2026-06-18,UPI/MERCHANT/GROCERY,342798,567.30,,1179.82
2026-06-20,UPI/MERCHANT/GROCERY,342799,595.00,,584.82
2026-06-21,UPI/ZIPRIDEPARTNER PAYOUT/342800,342800,,2090.29,2675.11
2026-06-21,UPI/MERCHANT/GROCERY,342801,604.41,,2070.70
2026-06-22,UPI/MERCHANT/GROCERY,342802,476.49,,1594.21
2026-06-23,UPI/MERCHANT/GROCERY,342803,544.25,,1049.96
2026-06-24,UPI/MERCHANT/GROCERY,342804,499.96,,550.00
2026-06-28,UPI/ZIPRIDEPARTNER PAYOUT/342805,342805,,1860.54,2410.54
2026-06-28,UPI/MERCHANT/GROCERY,342806,616.20,,1794.34
2026-06-29,UPI/MERCHANT/GROCERY,342807,644.36,,1149.98
2026-06-30,UPI/MERCHANT/GROCERY,342808,407.57,,742.41
2026-07-01,UPI/MERCHANT/GROCERY,342809,192.41,,550.00
2026-07-05,UPI/ZIPRIDEPARTNER PAYOUT/342810,342810,,2229.43,2779.43
2026-07-05,UPI/MERCHANT/GROCERY,342811,698.93,,2080.50
2026-07-06,UPI/MERCHANT/GROCERY,342812,689.85,,1390.65
2026-07-07,UPI/MERCHANT/GROCERY,342813,535.77,,854.88
2026-07-10,UPI/MERCHANT/GROCERY,342814,304.88,,550.00
2026-07-12,UPI/ZIPRIDEPARTNER PAYOUT/342815,342815,,2256.56,2806.56
2026-07-12,UPI/MERCHANT/GROCERY,342816,710.95,,2095.61
2026-07-14,UPI/MERCHANT/GROCERY,342817,745.31,,1350.30
2026-07-16,UPI/MERCHANT/GROCERY,342818,485.98,,864.32
2026-07-17,UPI/MERCHANT/GROCERY,342819,314.32,,550.00
2026-07-19,UPI/ZIPRIDEPARTNER PAYOUT/342820,342820,,2282.63,2832.63
2026-07-20,UPI/MERCHANT/GROCERY,342821,683.68,,2148.95
2026-07-21,UPI/MERCHANT/GROCERY,342822,656.79,,1492.16
2026-07-22,UPI/MERCHANT/GROCERY,342823,567.67,,924.49
2026-07-23,UPI/MERCHANT/GROCERY,342824,374.49,,550.00
2026-07-26,UPI/ZIPRIDEPARTNER PAYOUT/342825,342825,,2175.63,2725.63
2026-07-26,UPI/MERCHANT/GROCERY,342826,735.87,,1989.76
2026-07-27,UPI/MERCHANT/GROCERY,342827,594.26,,1395.50
2026-07-29,UPI/MERCHANT/GROCERY,342828,522.92,,872.58
2026-07-30,UPI/MERCHANT/GROCERY,342829,322.58,,550.00
2026-08-02,UPI/ZIPRIDEPARTNER PAYOUT/342830,342830,,2310.11,2860.11
2026-08-03,UPI/MERCHANT/GROCERY,342831,620.88,,2239.23
2026-08-04,UPI/MERCHANT/GROCERY,342832,799.68,,1439.55
2026-08-05,UPI/MERCHANT/GROCERY,342833,715.99,,723.56
